iteration, fit, cumTime
1, 673, 2.73495
2, 673, 5.33241
3, 673, 7.95037
4, 673, 10.5314
5, 673, 13.0431
6, 673, 15.5505
7, 673, 18.0617
8, 708, 20.5723
9, 708, 23.053
10, 708, 25.5221
11, 743, 28.0097
12, 743, 30.4844
13, 743, 32.9634
14, 743, 35.4165
15, 782, 37.9131
16, 937, 40.3993
17, 1995, 42.9456
18, 3595, 45.4198
19, 3595, 47.939
20, 3595, 50.4099
21, 3595, 52.8323
22, 3630, 55.2759
23, 3630, 57.744
24, 3630, 60.1957
25, 3630, 62.6382
26, 3630, 65.0492
27, 3630, 67.4905
28, 3630, 69.9561
29, 3630, 72.4044
30, 3630, 74.8739
31, 3630, 77.4347
32, 3630, 80.0129
33, 3630, 82.5332
34, 3630, 85.0487
35, 3681, 87.5356
36, 3681, 90.037
37, 3681, 92.4933
38, 4022, 94.9715
39, 4022, 97.4085
40, 4022, 99.8924
41, 4022, 102.358
42, 4022, 104.806
43, 4022, 107.258
44, 4022, 109.697
45, 4022, 112.141
46, 4022, 114.589
47, 4022, 117.049
48, 4022, 119.5
49, 4022, 121.94
50, 4022, 124.346
51, 4022, 126.787
52, 4022, 129.212
53, 4022, 131.65
54, 4022, 134.116
55, 4022, 136.539
56, 4022, 138.978
57, 4022, 141.397
58, 4022, 143.807
59, 4022, 146.235
60, 4316, 148.702
61, 4316, 151.163
62, 4316, 153.606
63, 4316, 156.05
64, 4316, 158.508
65, 4316, 160.981
66, 4316, 163.395
67, 4316, 165.828
68, 4316, 168.294
69, 4316, 170.761
70, 4316, 173.225
71, 4316, 175.639
72, 4316, 178.07
73, 4316, 180.526
